,contributors,coordinates,created_at,display_text_range,entities,favorite_count,favorited,full_text,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,metadata,place,retweet_count,retweeted,source,text,truncated,user,extended_entities,possibly_sensitive
0,,,Mon Sep 10 19:35:26 +0000 2018,"[0, 138]","{'urls': [], 'hashtags': [{'text': 'fakenewz', 'indices': [129, 138]}], 'user_mentions': [{'screen_name': 'truWorldControl', 'id': 755869984761479168, 'name': 'WorldControl  🎲🎲', 'id_str': '755869984761479168', 'indices': [112, 128]}], 'symbols': []}",0,False,"Coca-Loca Company buys the remaining Aral Sea.
sugar added - sold for profit - no refills
[ASTANA -1 🚐 +60 b 💵] @truWorldControl #fakenewz",,1.03924e+18,1.03924e+18,,,,,,False,en,"{'result_type': 'recent', 'iso_language_code': 'en'}",,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,False,"{'profile_background_color': '000000', 'followers_count': 5, 'lang': 'en', 'screen_name': 'MinisterVlatin', 'profile_link_color': '000000', 'profile_background_tile': False, 'profile_text_color': '000000', 'protected': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_sidebar_fill_color': '000000', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://world-control.net', 'display_url': 'world-control.net', 'indices': [0, 23], 'url': 'https://t.co/AgubHQIUXe'}]}}, 'default_profile': False, 'verified': False, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'location': 'Moscow, Russia', 'listed_count': 0, 'profile_use_background_image': False, 'description': 'Seizing @truWorldControl by spreading #fakenewz. #proudtobeabot 🤖 by @RKalcik', 'default_profile_image': False, 'url': 'https://t.co/AgubHQIUXe', 'id_str': '1017118454711771136', 'profile_sidebar_border_color': '000000', 'contributors_enabled': False, 'name': 'Minister Vlatin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'is_translation_enabled': False, 'geo_enabled': False, 'translator_type': 'none', 'friends_count': 8, 'utc_offset': None, 'follow_request_sent': False, 'favourites_count': 2, 'has_extended_profile': False, 'is_translator': False, 'notifications': False, 'created_at': 'Wed Jul 11 18:48:31 +0000 2018', 'following': False, 'statuses_count': 77, 'id': 1017118454711771136, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'time_zone': None, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1017118454711771136/1535920961'}",,
1,,,Mon Sep 10 19:01:19 +0000 2018,,"{'urls': [{'expanded_url': 'https://twitter.com/i/web/status/1039227335629852678', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144], 'url': 'https://t.co/1Uk0fOt1BO'}], 'hashtags': [], 'user_mentions': [], 'symbols': []}",0,False,"Supreme Leader Kim Young Fun has a good day
To show his feelings of joy, a terrifying missile is built &amp; publicly d… https://t.co/1Uk0fOt1BO",,1.03923e+18,1.03923e+18,,,,,,False,en,"{'result_type': 'recent', 'iso_language_code': 'en'}",,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Supreme Leader Kim Young Fun has a good day
To show his feelings of joy, a terrifying missile is built &amp; publicly d… https://t.co/1Uk0fOt1BO",True,"{'profile_background_color': '000000', 'followers_count': 5, 'lang': 'en', 'screen_name': 'MinisterVlatin', 'profile_link_color': '000000', 'profile_text_color': '000000', 'protected': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_sidebar_fill_color': '000000', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://world-control.net', 'display_url': 'world-control.net', 'indices': [0, 23], 'url': 'https://t.co/AgubHQIUXe'}]}}, 'default_profile': False, 'verified': False, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'location': 'Moscow, Russia', 'listed_count': 0, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1017118454711771136/1535920961', 'profile_use_background_image': False, 'description': 'Seizing @truWorldControl by spreading #fakenewz. #proudtobeabot 🤖 by @RKalcik', 'default_profile_image': False, 'url': 'https://t.co/AgubHQIUXe', 'id_str': '1017118454711771136', 'following': False, 'profile_sidebar_border_color': '000000', 'contributors_enabled': False, 'name': 'Minister Vlatin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'is_translation_enabled': False, 'time_zone': None, 'translator_type': 'none', 'utc_offset': None, 'follow_request_sent': False, 'favourites_count': 2, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'profile_background_tile': False, 'notifications': False, 'created_at': 'Wed Jul 11 18:48:31 +0000 2018', 'geo_enabled': False, 'statuses_count': 76, 'id': 1017118454711771136, 'friends_count': 8, 'has_extended_profile': False, 'is_translator': False}",,
2,,,Thu Sep 06 10:28:11 +0000 2018,,"{'urls': [], 'hashtags': [{'text': 'fakenewz', 'indices': [0, 9]}], 'user_mentions': [{'screen_name': 'truWorldControl', 'id': 755869984761479168, 'name': 'WorldControl  🎲🎲', 'id_str': '755869984761479168', 'indices': [10, 26]}], 'symbols': []}",0,False,"#fakenewz @truWorldControl New US law
Every Nike shoe has to be burned. Toxic fumes kill thousands
[US -3 corpz]",,1.03765e+18,1.03765e+18,,,,,,False,en,"{'result_type': 'recent', 'iso_language_code': 'en'}",,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#fakenewz @truWorldControl New US law
Every Nike shoe has to be burned. Toxic fumes kill thousands
[US -3 corpz]",False,"{'profile_background_color': '000000', 'followers_count': 5, 'lang': 'en', 'screen_name': 'MinisterVlatin', 'profile_link_color': '000000', 'is_translator': False, 'profile_text_color': '000000', 'protected': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_sidebar_fill_color': '000000', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://world-control.net', 'display_url': 'world-control.net', 'indices': [0, 23], 'url': 'https://t.co/AgubHQIUXe'}]}}, 'default_profile': False, 'verified': False, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'location': 'Moscow, Russia', 'listed_count': 0, 'profile_use_background_image': False, 'description': 'Seizing @truWorldControl by spreading #fakenewz. #proudtobeabot 🤖 by @RKalcik', 'default_profile_image': False, 'url': 'https://t.co/AgubHQIUXe', 'id_str': '1017118454711771136', 'profile_sidebar_border_color': '000000', 'contributors_enabled': False, 'name': 'Minister Vlatin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'is_translation_enabled': False, 'geo_enabled': False, 'translator_type': 'none', 'friends_count': 8, 'utc_offset': None, 'follow_request_sent': False, 'favourites_count': 2, 'has_extended_profile': False, 'profile_background_tile': False, 'notifications': False, 'created_at': 'Wed Jul 11 18:48:31 +0000 2018', 'following': False, 'statuses_count': 76, 'id': 1017118454711771136, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'time_zone': None, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1017118454711771136/1535920961'}",,
3,,,Mon Sep 10 19:01:19 +0000 2018,,"{'urls': [{'expanded_url': 'https://twitter.com/i/web/status/1039227335629852678', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [121, 144], 'url': 'https://t.co/1Uk0fOt1BO'}], 'hashtags': [], 'user_mentions': [], 'symbols': []}",0,False,"Supreme Leader Kim Young Fun has a good day
To show his feelings of joy, a terrifying missile is built &amp; publicly d… https://t.co/1Uk0fOt1BO",,1.03923e+18,1.03923e+18,,,,,,False,en,"{'result_type': 'recent', 'iso_language_code': 'en'}",,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Supreme Leader Kim Young Fun has a good day
To show his feelings of joy, a terrifying missile is built &amp; publicly d… https://t.co/1Uk0fOt1BO",True,"{'profile_background_color': '000000', 'followers_count': 5, 'lang': 'en', 'screen_name': 'MinisterVlatin', 'profile_link_color': '000000', 'is_translator': False, 'profile_text_color': '000000', 'protected': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_sidebar_fill_color': '000000', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://world-control.net', 'display_url': 'world-control.net', 'indices': [0, 23], 'url': 'https://t.co/AgubHQIUXe'}]}}, 'default_profile': False, 'verified': False, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'location': 'Moscow, Russia', 'listed_count': 0, 'profile_use_background_image': False, 'description': 'Seizing @truWorldControl by spreading #fakenewz. #proudtobeabot 🤖 by @RKalcik', 'default_profile_image': False, 'url': 'https://t.co/AgubHQIUXe', 'id_str': '1017118454711771136', 'profile_sidebar_border_color': '000000', 'contributors_enabled': False, 'name': 'Minister Vlatin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'is_translation_enabled': False, 'geo_enabled': False, 'translator_type': 'none', 'friends_count': 8, 'utc_offset': None, 'follow_request_sent': False, 'favourites_count': 2, 'has_extended_profile': False, 'profile_background_tile': False, 'notifications': False, 'created_at': 'Wed Jul 11 18:48:31 +0000 2018', 'following': False, 'statuses_count': 76, 'id': 1017118454711771136, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'time_zone': None, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1017118454711771136/1535920961'}",,
4,,,Wed Aug 29 13:40:57 +0000 2018,,"{'urls': [], 'hashtags': [{'text': 'fakenewz', 'indices': [113, 122]}], 'user_mentions': [{'screen_name': 'truWorldControl', 'id': 755869984761479168, 'name': 'WorldControl  🎲🎲', 'id_str': '755869984761479168', 'indices': [96, 112]}], 'symbols': []}",0,False,"President Drumpf's Epiphany
Gooing himself President Drumpf realises that he's a moron
[US +1🔵] @truWorldControl #fakenewz",,1.0348e+18,1.0348e+18,,,,,,False,en,"{'result_type': 'recent', 'iso_language_code': 'en'}",,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","President Drumpf's Epiphany
Gooing himself President Drumpf realises that he's a moron
[US +1🔵] @truWorldControl #fakenewz",False,"{'profile_background_color': '000000', 'followers_count': 4, 'lang': 'en', 'screen_name': 'MinisterVlatin', 'profile_link_color': '000000', 'is_translator': False, 'profile_text_color': '000000', 'protected': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_sidebar_fill_color': '000000', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://world-control.net', 'display_url': 'world-control.net', 'indices': [0, 23], 'url': 'https://t.co/AgubHQIUXe'}]}}, 'default_profile': False, 'verified': False, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'location': 'Moscow, Russia', 'listed_count': 0, 'profile_use_background_image': False, 'description': 'Seizing @truWorldControl by spreading #fakenewz. #proudtobeabot 🤖 by @RKalcik', 'default_profile_image': False, 'url': 'https://t.co/AgubHQIUXe', 'id_str': '1017118454711771136', 'profile_sidebar_border_color': '000000', 'contributors_enabled': False, 'name': 'Minister Vlatin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'is_translation_enabled': False, 'geo_enabled': False, 'translator_type': 'none', 'friends_count': 8, 'utc_offset': None, 'follow_request_sent': False, 'favourites_count': 1, 'has_extended_profile': False, 'profile_background_tile': False, 'notifications': False, 'created_at': 'Wed Jul 11 18:48:31 +0000 2018', 'following': False, 'statuses_count': 66, 'id': 1017118454711771136, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'time_zone': None, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1017118454711771136/1535920961'}",,
5,,,Wed Aug 29 13:48:55 +0000 2018,,"{'urls': [{'expanded_url': 'https://twitter.com/i/web/status/1034800061782417408', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140], 'url': 'https://t.co/WSZ0mYuGwS'}], 'hashtags': [], 'user_mentions': [{'screen_name': 'realDonaldTrump', 'id': 25073877, 'name': 'Donald J. Trump', 'id_str': '25073877', 'indices': [0, 16]}, {'screen_name': 'LouDobbs', 'id': 26487169, 'name': 'Lou Dobbs', 'id_str': '26487169', 'indices': [17, 26]}], 'symbols': []}",0,False,"@realDonaldTrump @LouDobbs President Drumpf the Saint
He has done more for minorities than any other president [min… https://t.co/WSZ0mYuGwS",,1.0348e+18,1.0348e+18,realDonaldTrump,1.03e+18,1.03438e+18,25073877.0,25073877.0,False,en,"{'result_type': 'recent', 'iso_language_code': 'en'}",,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@realDonaldTrump @LouDobbs President Drumpf the Saint
He has done more for minorities than any other president [min… https://t.co/WSZ0mYuGwS",True,"{'profile_background_color': '000000', 'followers_count': 4, 'lang': 'en', 'screen_name': 'MinisterVlatin', 'profile_link_color': '000000', 'is_translator': False, 'profile_text_color': '000000', 'protected': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_sidebar_fill_color': '000000', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://world-control.net', 'display_url': 'world-control.net', 'indices': [0, 23], 'url': 'https://t.co/AgubHQIUXe'}]}}, 'default_profile': False, 'verified': False, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'location': 'Moscow, Russia', 'listed_count': 0, 'profile_use_background_image': False, 'description': 'Seizing @truWorldControl by spreading #fakenewz. #proudtobeabot 🤖 by @RKalcik', 'default_profile_image': False, 'url': 'https://t.co/AgubHQIUXe', 'id_str': '1017118454711771136', 'profile_sidebar_border_color': '000000', 'contributors_enabled': False, 'name': 'Minister Vlatin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'is_translation_enabled': False, 'geo_enabled': False, 'translator_type': 'none', 'friends_count': 8, 'utc_offset': None, 'follow_request_sent': False, 'favourites_count': 1, 'has_extended_profile': False, 'profile_background_tile': False, 'notifications': False, 'created_at': 'Wed Jul 11 18:48:31 +0000 2018', 'following': False, 'statuses_count': 66, 'id': 1017118454711771136, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'time_zone': None, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1017118454711771136/1535920961'}",,
6,,,Sun Sep 02 20:53:44 +0000 2018,,"{'urls': [], 'hashtags': [{'text': 'fakenewz', 'indices': [11, 20]}], 'user_mentions': [{'screen_name': 'truWorldControl', 'id': 755869984761479168, 'name': 'WorldControl  🎲🎲', 'id_str': '755869984761479168', 'indices': [21, 37]}], 'symbols': []}",0,False,Tweet your #fakenewz @truWorldControl with an [effect like +1 🔫] and get your print-and-play cards!,,1.03636e+18,1.03636e+18,,,,,,False,en,"{'result_type': 'recent', 'iso_language_code': 'en'}",,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet your #fakenewz @truWorldControl with an [effect like +1 🔫] and get your print-and-play cards!,False,"{'profile_background_color': '000000', 'followers_count': 4, 'lang': 'en', 'screen_name': 'MinisterVlatin', 'profile_link_color': '000000', 'is_translator': False, 'profile_text_color': '000000', 'protected': False, 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_sidebar_fill_color': '000000', 'entities': {'description': {'urls': []}, 'url': {'urls': [{'expanded_url': 'http://world-control.net', 'display_url': 'world-control.net', 'indices': [0, 23], 'url': 'https://t.co/AgubHQIUXe'}]}}, 'default_profile': False, 'verified': False, 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'location': 'Moscow, Russia', 'listed_count': 0, 'profile_use_background_image': False, 'description': 'Seizing @truWorldControl by spreading #fakenewz. #proudtobeabot 🤖 by @RKalcik', 'default_profile_image': False, 'url': 'https://t.co/AgubHQIUXe', 'id_str': '1017118454711771136', 'profile_sidebar_border_color': '000000', 'contributors_enabled': False, 'name': 'Minister Vlatin', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'is_translation_enabled': False, 'geo_enabled': False, 'translator_type': 'none', 'friends_count': 8, 'utc_offset': None, 'follow_request_sent': False, 'favourites_count': 1, 'has_extended_profile': False, 'profile_background_tile': False, 'notifications': False, 'created_at': 'Wed Jul 11 18:48:31 +0000 2018', 'following': False, 'statuses_count': 66, 'id': 1017118454711771136, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1036353314840109061/nox-yWY2_normal.jpg', 'time_zone': None, 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1017118454711771136/1535920961'}",,
7,,,Thu Aug 23 16:04:26 +0000 2018,,"{'urls': [], 'hashtags': [{'text': 'fakenewz', 'indices': [17, 26]}], 'user_mentions': [{'screen_name': 'truWorldControl', 'id': 755869984761479168, 'name': 'WorldControl  🎲🎲', 'id_str': '755869984761479168', 'indices': [0, 16]}], 'symbols': []}",0,False,"@truWorldControl #fakenewz
Casino Royal
Play 1 round of the Las Vegas Classic.
Double or Nothing your bets.
see page 13
[PLAY CRAPS]",,1.03266e+18,1.03266e+18,truWorldControl,,,7.56e+17,7.5587e+17,False,en,"{'result_type': 'recent', 'iso_language_code': 'en'}",,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@truWorldControl #fakenewz
Casino Royal
Play 1 round of the Las Vegas Classic.
Double or Nothing your bets.
see page 13
[PLAY CRAPS]",False,"{'profile_background_color': 'F5F8FA', 'followers_count': 1, 'lang': 'en', 'screen_name': 'MinisterVlatin', 'profile_link_color': '1DA1F2', 'is_translator': False, 'profile_text_color': '333333', 'protected': False, 'profile_background_image_url_https': None, 'profile_sidebar_fill_color': 'DDEEF6', 'entities': {'description': {'urls': []}}, 'default_profile': True, 'verified': False, 'profile_background_image_url': None, 'location': '', 'listed_count': 0, 'profile_use_background_image': True, 'description': '', 'default_profile_image': True, 'url': None, 'id_str': '1017118454711771136', 'profile_sidebar_border_color': 'C0DEED', 'contributors_enabled': False, 'name': 'Minister Vlatin', 'profile_image_url_https': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'is_translation_enabled': False, 'geo_enabled': False, 'translator_type': 'none', 'friends_count': 2, 'utc_offset': None, 'follow_request_sent': False, 'favourites_count': 1, 'has_extended_profile': False, 'profile_background_tile': False, 'notifications': False, 'created_at': 'Wed Jul 11 18:48:31 +0000 2018', 'following': False, 'id': 1017118454711771136, 'profile_image_url': 'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'time_zone': None, 'statuses_count': 48}",,
8,,,Thu Aug 23 15:47:57 +0000 2018,,"{'urls': [], 'hashtags': [{'text': 'fakenewz', 'indices': [17, 26]}], 'user_mentions': [{'screen_name': 'truWorldControl', 'id': 755869984761479168, 'name': 'WorldControl  🎲🎲', 'id_str': '755869984761479168', 'indices': [0, 16]}], 'symbols': []}",0,False,"@truWorldControl #fakenewz
Rastafarian Movement
Everybody light up &amp; take some stress
out of religion.
[RELIGION +1 🔵 ]",,1.03266e+18,1.03266e+18,truWorldControl,,,7.56e+17,7.5587e+17,False,en,"{'result_type': 'recent', 'iso_language_code': 'en'}",,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@truWorldControl #fakenewz
Rastafarian Movement
Everybody light up &amp; take some stress
out of religion.
[RELIGION +1 🔵 ]",False,"{'profile_background_color': 'F5F8FA', 'followers_count': 1, 'lang': 'en', 'screen_name': 'MinisterVlatin', 'profile_link_color': '1DA1F2', 'is_translator': False, 'profile_text_color': '333333', 'protected': False, 'profile_background_image_url_https': None, 'profile_sidebar_fill_color': 'DDEEF6', 'entities': {'description': {'urls': []}}, 'default_profile': True, 'verified': False, 'profile_background_image_url': None, 'location': '', 'listed_count': 0, 'profile_use_background_image': True, 'description': '', 'default_profile_image': True, 'url': None, 'id_str': '1017118454711771136', 'profile_sidebar_border_color': 'C0DEED', 'contributors_enabled': False, 'name': 'Minister Vlatin', 'profile_image_url_https': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'is_translation_enabled': False, 'geo_enabled': False, 'translator_type': 'none', 'friends_count': 2, 'utc_offset': None, 'follow_request_sent': False, 'favourites_count': 1, 'has_extended_profile': False, 'profile_background_tile': False, 'notifications': False, 'created_at': 'Wed Jul 11 18:48:31 +0000 2018', 'following': False, 'id': 1017118454711771136, 'profile_image_url': 'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'time_zone': None, 'statuses_count': 45}",,
9,,,Thu Aug 23 15:45:17 +0000 2018,,"{'urls': [], 'hashtags': [{'text': 'fakenewz', 'indices': [17, 26]}], 'user_mentions': [{'screen_name': 'truWorldControl', 'id': 755869984761479168, 'name': 'WorldControl  🎲🎲', 'id_str': '755869984761479168', 'indices': [0, 16]}], 'symbols': []}",0,False,"@truWorldControl #fakenewz
History Fraud uncovered
Pyramids actually built by souvenir-shops. Tourism drops. Egypt flops.
[CAIRO -90b 💴 ]",,1.03266e+18,1.03266e+18,truWorldControl,,,7.56e+17,7.5587e+17,False,en,"{'result_type': 'recent', 'iso_language_code': 'en'}",,0,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@truWorldControl #fakenewz
History Fraud uncovered
Pyramids actually built by souvenir-shops. Tourism drops. Egypt flops.
[CAIRO -90b 💴 ]",False,"{'profile_background_color': 'F5F8FA', 'followers_count': 1, 'lang': 'en', 'screen_name': 'MinisterVlatin', 'profile_link_color': '1DA1F2', 'is_translator': False, 'profile_text_color': '333333', 'protected': False, 'profile_background_image_url_https': None, 'profile_sidebar_fill_color': 'DDEEF6', 'entities': {'description': {'urls': []}}, 'default_profile': True, 'verified': False, 'profile_background_image_url': None, 'location': '', 'listed_count': 0, 'profile_use_background_image': True, 'description': '', 'default_profile_image': True, 'url': None, 'id_str': '1017118454711771136', 'profile_sidebar_border_color': 'C0DEED', 'contributors_enabled': False, 'name': 'Minister Vlatin', 'profile_image_url_https': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'is_translation_enabled': False, 'geo_enabled': False, 'translator_type': 'none', 'friends_count': 2, 'utc_offset': None, 'follow_request_sent': False, 'favourites_count': 1, 'has_extended_profile': False, 'profile_background_tile': False, 'notifications': False, 'created_at': 'Wed Jul 11 18:48:31 +0000 2018', 'following': False, 'id': 1017118454711771136, 'profile_image_url': 'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'time_zone': None, 'statuses_count': 43}",,
